日期,證券代號,證券名稱,收盤價,殖利率(%),股利年度,本益比,股價淨值比,財報年/季
20260813,2409,友達,25.75,1.55,114,107.29,1.26,2026Q2
20260813,2412,中華電,136.0,3.82,114,26.72,2.88,2026Q2
20260813,2413,環科,45.4,1.1,114,12.11,2.56,2026Q2
20260813,2414,精技,52.8,5.68,114,12.85,2.71,2026Q2
20260813,2415,錩新,29.6,5.37,114,18.85,1.54,2026Q2
20260813,2417,圓剛,45.45,0.55,114,32.7,2.1,2026Q2
20260813,2420,新巨,57.7,5.2,114,12.91,2.26,2026Q2
20260813,2421,建準,149.5,3.51,114,16.08,4.06,2026Q2
20260813,2423,固緯,77.3,3.23,114,18.32,3.75,2026Q2
20260813,2426,鼎元,68.6,0.15,114,686.0,5.38,2026Q2
20260813,2427,三商電,21.75,3.22,114,15.32,1.24,2026Q2
20260813,2428,興勤,259.5,2.27,114,18.44,2.82,2026Q2
20260813,2430,燦坤,17.25,4.64,114,35.2,0.47,2026Q2
20260813,2432,倚天酷碁-創,28.15,6.04,114,12.8,1.5,2026Q2
20260813,2433,互盛電,41.95,6.44,114,13.75,1.97,2026Q1
20260813,2436,偉詮電,71.2,2.75,114,13.09,2.99,2026Q2
20260813,2439,美律,81.5,4.91,114,14.87,1.21,2026Q2
20260813,2441,超豐,125.5,2.39,114,23.24,2.6,2026Q2
20260813,2442,新美齊,19.55,13.81,114,3.85,0.92,2026Q2
20260813,2449,京元電子,253.5,0.59,114,33.22,4.95,2026Q2
20260813,2450,神腦,28.25,5.49,114,17.44,1.17,2026Q2
20260813,2451,創見,302.0,3.9,114,5.25,3.39,2026Q2
20260813,2453,凌群,51.7,5.42,114,16.36,2.44,2026Q2
20260813,2454,聯發科,4225.0,1.27,114,69.78,15.9,2026Q2
20260813,2455,全新,384.0,0.68,114,94.12,19.44,2026Q2
20260813,2458,義隆,145.0,4.88,114,13.48,3.7,2026Q2
20260813,2459,敦吉,66.0,6.36,114,11.81,1.17,2026Q2
20260813,2462,良得電,19.55,1.02,114,32.05,0.89,2026Q2
20260813,2464,盟立,196.0,0.26,114,515.79,7.44,2026Q2
20260813,2467,志聖,548.0,1.0,114,54.69,5.46,2026Q2
20260813,2468,華經,35.0,2.86,114,25.74,1.96,2026Q2
20260813,2471,資通,50.3,6.58,114,10.39,2.75,2026Q2
20260813,2472,立隆電,253.0,1.38,114,25.76,4.37,2026Q2
20260813,2474,可成,203.0,5.06,114,13.51,0.79,2026Q2
20260813,2476,鉅祥,123.0,2.41,114,20.0,2.96,2026Q2
20260813,2477,美隆電,21.4,6.54,114,24.32,0.83,2026Q2
20260813,2478,大毅,130.0,1.54,114,26.75,2.55,2026Q2
20260813,2480,敦陽科,161.0,4.84,114,18.38,5.23,2026Q2
20260813,2481,強茂,143.0,1.26,114,37.93,3.63,2026Q2
20260813,2483,百容,40.05,0.75,114,160.2,1.58,2026Q2
20260813,2484,希華,75.9,0.92,114,54.6,2.95,2026Q2
20260813,2486,一詮,231.5,0.22,114,199.57,9.01,2026Q2
20260813,2488,漢平,50.1,5.99,114,10.29,1.44,2026Q2
20260813,2489,瑞軒,32.0,3.75,114,23.02,1.48,2026Q2
20260813,2492,華新科,316.5,0.79,114,35.56,2.31,2026Q2
20260813,2493,揚博,236.0,1.69,114,45.12,9.7,2026Q2
20260813,2495,普安,39.7,2.02,114,19.56,2.39,2026Q2
20260813,2496,卓越,59.6,8.39,114,9.9,1.36,2026Q2
20260813,2497,怡利電,47.0,4.26,114,14.73,2.1,2026Q2
20260813,2498,宏達電,40.1,1.25,114,15.48,1.28,2026Q2
20260813,2501,國建,23.0,5.22,114,5.94,0.84,2026Q1
20260813,2504,國產,31.15,8.35,114,9.76,1.42,2026Q2
20260813,2505,國揚,17.95,5.57,114,9.07,0.63,2026Q2
20260813,2506,太設,8.58,2.33,114,23.83,0.39,2026Q2
20260813,2511,太子,8.4,3.57,114,24.0,0.53,2026Q2
20260813,2515,中工,12.0,4.17,114,25.0,0.84,2026Q1
20260813,2520,冠德,35.3,4.59,114,10.51,0.87,2026Q2
20260813,2527,宏璟,45.8,3.28,114,8.05,0.33,2026Q2
20260813,2528,皇普,20.4,14.71,114,8.29,1.18,2026Q2
20260813,2530,華建,19.5,9.49,114,29.55,1.64,2026Q2
20260813,2534,宏盛,16.9,8.88,114,338.0,0.56,2026Q2
20260813,2535,達欣工,87.5,5.26,114,8.57,2.1,2026Q2
20260813,2536,宏普,21.45,9.32,114,5.17,0.56,2026Q2
20260813,2538,基泰,9.14,5.47,114,25.39,0.71,2026Q1
20260813,2539,櫻花建,41.8,6.7,114,9.93,2.49,2026Q2
20260813,2540,愛山林,44.8,13.39,114,74.67,2.58,2026Q1
20260813,2542,興富發,46.4,8.62,114,10.74,1.98,2026Q2
20260813,2543,皇昌,39.65,3.86,114,13.72,2.18,2026Q2
20260813,2545,皇翔,34.45,8.13,114,36.26,0.89,2026Q2
20260813,2546,根基,104.0,5.77,114,6.96,2.07,2026Q2
20260813,2547,日勝生,10.15,7.88,114,84.58,0.78,2026Q2
20260813,2548,華固,93.4,9.1,114,7.55,1.43,2026Q2
20260813,2597,潤弘,169.0,5.72,114,14.88,5.64,2026Q1
20260813,2603,長榮,215.5,7.42,114,9.42,0.8,2026Q1
20260813,2605,新興,32.3,3.1,114,6.59,0.98,2026Q2
20260813,2606,裕民,65.5,4.27,114,9.66,1.37,2026Q2
20260813,2607,榮運,49.9,5.41,114,10.55,0.85,2026Q1
20260813,2608,嘉里大榮,28.55,5.78,114,14.2,1.05,2026Q1
20260813,2609,陽明,51.4,3.89,114,11.58,0.55,2026Q2
20260813,2610,華航,20.1,4.03,114,9.31,1.23,2026Q2
20260813,2611,志信,14.6,3.56,114,8.25,0.99,2026Q2
20260813,2612,中航,53.7,4.1,114,10.43,0.77,2026Q2
20260813,2613,中櫃,20.35,4.91,114,18.67,0.88,2026Q1
20260813,2614,東森,18.05,6.65,114,8.85,1.38,2026Q1
20260813,2615,萬海,87.5,3.43,114,8.08,0.86,2026Q1
20260813,2617,台航,28.8,5.21,114,7.74,0.67,2026Q2
20260813,2618,長榮航,41.0,4.88,114,8.63,1.59,2026Q2
20260813,2630,亞航,48.3,1.86,114,84.74,2.99,2026Q2
20260813,2633,台灣高鐵,25.95,4.43,114,21.27,2.08,2026Q2
20260813,2634,漢翔,64.2,1.21,114,31.01,3.29,2026Q2
20260813,2636,台驊控股,67.5,7.41,114,9.88,0.98,2026Q1
20260813,2637,慧洋-KY,85.2,4.11,114,11.98,1.26,2026Q1
20260813,2645,長榮航太,182.0,2.75,114,23.21,5.08,2026Q2
20260813,2701,萬企,10.6,2.64,114,17.97,0.56,2026Q2
20260813,2704,國賓,46.55,1.07,114,17.5,0.52,2026Q2
20260813,2706,第一店,12.5,2.8,114,18.38,0.61,2026Q2
20260813,2707,晶華,178.0,6.04,114,12.33,5.83,2026Q2
20260813,2727,王品,230.5,6.99,114,12.81,4.49,2026Q2
20260813,2731,雄獅,145.0,8.83,114,8.92,3.03,2026Q2
20260813,2739,寒舍,35.8,7.21,114,8.88,2.0,2026Q2
20260813,2748,雲品,38.45,4.55,114,15.14,1.38,2026Q2
20260813,2753,八方雲集,182.5,6.58,114,13.55,3.43,2026Q1
20260813,2762,世界健身-KY,83.5,7.13,114,15.75,3.42,2026Q1
20260813,2801,彰銀,23.55,4.46,114,14.72,1.23,2026Q1
20260813,2812,台中銀,18.65,5.68,114,11.1,1.17,2026Q2
20260813,2816,旺旺保,33.55,4.47,114,5.33,0.88,2026Q1
20260813,2820,華票,16.25,5.54,114,10.69,0.78,2026Q1
20260813,2832,台產,58.7,5.96,114,11.29,1.22,2026Q1
20260813,2834,臺企銀,16.45,6.08,114,12.56,1.07,2026Q1
20260813,2836,高雄銀,11.9,3.78,114,16.08,0.83,2026Q1
20260813,2838,聯邦銀,20.15,5.26,114,14.29,1.09,2026Q1
20260813,2845,遠東銀,13.2,4.77,114,15.0,0.9,2026Q1
20260813,2849,安泰銀,14.45,3.53,114,16.8,0.77,2026Q1
20260813,2850,新產,161.0,4.52,114,11.49,2.33,2026Q1
20260813,2851,中再保,37.85,5.81,114,7.31,1.29,2026Q1
20260813,2852,第一保,26.95,6.16,114,8.75,0.86,2026Q1
20260813,2855,統一證,47.35,4.46,114,10.59,1.82,2026Q1
20260813,2880,華南金,39.1,3.71,114,18.89,2.23,2026Q1
20260813,2881,富邦金,128.5,3.31,114,17.68,1.97,2026Q1
20260813,2882,國泰金,99.5,3.52,114,15.1,1.99,2026Q1
20260813,2883,凱基金,31.5,3.17,114,17.7,1.58,2026Q1
20260813,2884,玉山金,37.3,3.75,114,16.95,2.12,2026Q1
20260813,2885,元大金,69.7,3.16,114,21.45,2.59,2026Q1
