資料日期,股票代號,名稱,本益比,每股股利,殖利率,股價淨值比,財報年/季
1140204,6248,沛波,5.71,2.0,7.25,1.25,113Q3
1140204,6259,百徽,40.64,1.19714368,6.27,1.38,113Q3
1140204,6261,久元,12.99,4.0,6.62,1.18,113Q3
1140204,6263,普萊德,18.47,7.4,4.87,5.99,113Q3
1140204,6265,方土昶,159.67,0.0,0.0,0.84,113Q3
1140204,6266,泰詠,14.76,1.96,6.32,1.87,113Q3
1140204,6270,倍微,98.75,1.0,4.22,0.42,113Q3
1140204,6274,台燿,17.93,4.00752,2.65,3.13,113Q3
1140204,6275,元山,11.49,2.97434398,6.5,2.25,113Q3
1140204,6279,胡連,15.14,5.25,2.79,2.83,113Q3
1140204,6284,佳邦,14.36,2.0,2.53,1.59,113Q3
1140204,6290,良維,18.1,2.973209,3.63,2.09,113Q3
1140204,6291,沛亨,13.03,8.0,8.7,2.94,113Q3
1140204,6292,迅德,10.82,4.2,8.38,1.9,113Q3
1140204,6294,智基,14.23,8.0,13.45,2.54,113Q3
1140204,6411,晶焱,23.53,2.45758,2.93,1.75,113Q3
1140204,6417,韋僑,29.22,2.0,1.99,2.74,113Q3
1140204,6418,詠昇,20.21,1.1,5.73,1.32,113Q3
1140204,6419,京晨科,11.64,3.8,3.83,3.79,113Q3
1140204,6425,易發,98.57,0.5,0.81,3.2,113Q3
1140204,6432,今展科,29.94,1.24311639,4.61,0.99,113Q3
1140204,6435,大中,17.88,2.8,2.94,2.02,113Q3
1140204,6469,大樹,29.42,5.29618911,3.46,5.98,113Q3
1140204,6470,宇智,29.29,2.8,5.69,1.74,113Q3
1140204,6482,弘煜科,24.06,1.5,2.94,3.4,113Q3
1140204,6486,互動,12.92,5.69330092,6.91,2.2,113Q3
