,資料日期,股票代號,名稱,本益比,殖利率,股價淨值比
369,20240613,2887,台新金,17.38,5.38,1.14
370,20240613,2889,國票金,26.36,6.3,1.26
371,20240613,2890,永豐金,13.56,4.17,1.51
372,20240613,2891,中信金,11.67,4.85,1.59
373,20240613,2892,第一金,16.55,4.14,1.46
374,20240613,2897,王道銀行,11.67,4.29,0.76
375,20240613,2901,欣欣,60.11,1.33,2.22
376,20240613,2903,遠百,17.6,5.02,1.4
377,20240613,2904,匯僑,23.37,3.09,1.26
378,20240613,2906,高林,34.1,2.88,1.3
379,20240613,2908,特力,45.98,2.74,1.61
380,20240613,2910,統領,23.72,1.27,1.78
381,20240613,2912,統一超,26.14,3.33,6.68
382,20240613,2915,潤泰全,6.16,3.66,0.71
383,20240613,2923,鼎固-KY,59.58,0.7,0.99
384,20240613,2945,三商家購,24.69,2.73,1.58
385,20240613,3002,歐格,61.8,2.07,1.17
386,20240613,3003,健和興,22.18,1.89,2.0
387,20240613,3004,豐達科,16.25,2.41,2.38
388,20240613,3005,神基,16.94,4.42,3.39
389,20240613,3008,大立光,15.33,2.84,1.89
390,20240613,3010,華立,14.83,3.9,1.68
391,20240613,3013,晟銘電,60.19,0.43,5.34
392,20240613,3014,聯陽,17.04,4.61,4.11
393,20240613,3015,全漢,19.52,4.88,0.87
394,20240613,3016,嘉晶,108.14,0.78,3.84
395,20240613,3017,奇鋐,46.57,0.98,12.7
396,20240613,3019,亞光,22.67,2.55,1.53
397,20240613,3021,鴻名,17.39,1.27,1.44
398,20240613,3022,威強電,9.88,4.24,1.38
399,20240613,3023,信邦,21.51,3.24,4.77
400,20240613,3024,憶聲,56.71,0.46,2.09
401,20240613,3025,星通,19.91,4.74,4.36
402,20240613,3026,禾伸堂,23.53,5.07,1.78
403,20240613,3027,盛達,35.93,0.95,2.0
404,20240613,3028,增你強,19.59,5.61,1.49
405,20240613,3029,零壹,18.16,4.78,3.43
406,20240613,3030,德律,36.06,1.82,5.58
407,20240613,3031,佰鴻,21.14,3.75,1.28
408,20240613,3032,偉訓,12.12,4.86,2.51
409,20240613,3033,威健,20.57,5.36,1.76
410,20240613,3034,聯詠,15.77,5.26,5.13
411,20240613,3035,智原,58.57,1.46,5.89
412,20240613,3036,文曄,26.84,1.59,1.53
413,20240613,3037,欣興,27.18,1.63,2.96
414,20240613,3038,全台,10.55,5.06,1.89
415,20240613,3040,遠見,35.9,2.63,1.61
416,20240613,3042,晶技,18.77,3.78,2.9
417,20240613,3044,健鼎,16.6,3.51,2.4
418,20240613,3045,台灣大,25.6,4.06,3.65
419,20240613,3046,建碁,19.63,3.13,3.78
420,20240613,3048,益登,114.84,2.72,1.88
421,20240613,3050,鈺德,30.43,2.38,1.3
422,20240613,3051,力特,19.82,2.99,2.21
423,20240613,3052,夆典,12.48,4.58,0.79
424,20240613,3056,富華新,47.57,2.36,1.75
425,20240613,3059,華晶科,31.38,1.72,1.26
426,20240613,3090,日電貿,17.75,5.0,2.45
427,20240613,3094,聯傑,68.8,1.93,2.64
428,20240613,3130,一零四,17.3,5.84,4.42
429,20240613,3138,耀登,37.65,2.03,3.21
430,20240613,3164,景岳,35.43,2.04,1.6
431,20240613,3167,大量,233.75,0.89,2.17
432,20240613,3168,眾福科,17.76,5.6,2.79
433,20240613,3189,景碩,647.86,1.1,1.31
434,20240613,3209,全科,14.04,5.89,1.81
435,20240613,3231,緯創,21.03,2.4,2.76
436,20240613,3257,虹冠電,17.2,4.94,3.27
437,20240613,3266,昇陽,11.03,2.91,1.48
438,20240613,3305,昇貿,33.57,2.66,2.04
439,20240613,3311,閎暉,21.93,3.02,1.0
440,20240613,3312,弘憶股,32.39,1.7,4.06
441,20240613,3338,泰碩,26.25,2.34,3.75
442,20240613,3346,麗清,15.72,3.52,1.45
443,20240613,3356,奇偶,14.72,4.11,3.15
444,20240613,3376,新日興,50.75,1.48,3.17
445,20240613,3380,明泰,42.16,2.96,1.9
446,20240613,3406,玉晶光,17.22,2.0,3.19
447,20240613,3413,京鼎,14.51,3.56,2.59
448,20240613,3416,融程電,23.22,3.31,4.19
449,20240613,3443,創意,64.18,0.9,20.05
450,20240613,3454,晶睿,34.34,2.67,3.46
451,20240613,3501,維熹,14.8,3.97,1.37
452,20240613,3515,華擎,25.0,3.05,3.54
